zip3,latitude,longitude,zcta_count
006,18.258874,-66.833358,46
007,18.155141,-66.110383,46
008,17.958178,-64.799823,6
009,18.370567,-66.102550,40
010,42.257499,-72.603191,62
011,42.099394,-72.544797,13
012,42.367868,-73.209998,32
013,42.595003,-72.538365,30
014,42.593392,-71.817236,21
015,42.229203,-71.854767,45
016,42.275671,-71.844195,11
017,42.342651,-71.455331,27
018,42.640797,-71.216100,32
019,42.651078,-70.886578,32
020,42.139460,-71.150973,26
021,42.310307,-71.053180,53
022,42.347957,-71.069997,4
023,41.969215,-70.845190,28
024,42.360330,-71.231809,27
025,41.536422,-70.532410,25
026,41.752754,-70.184739,35
027,41.776138,-71.080772,36
028,41.659002,-71.563368,63
029,41.825997,-71.472022,18
030,42.903223,-71.510068,34
031,43.003170,-71.475101,7
032,43.574627,-71.661186,58
033,43.272250,-71.565189,4
034,42.908104,-72.192234,25
035,44.675154,-71.316477,20
036,43.180606,-72.327198,8
037,43.698552,-72.112439,24
038,43.555493,-71.099834,67
039,43.231605,-70.742806,11
040,43.767837,-70.604602,62
041,43.677987,-70.268370,9
042,44.382779,-70.502794,48
043,44.299562,-69.745048,21
044,45.401857,-68.774337,66
045,44.002631,-69.561770,29
046,44.745120,-67.838202,59
047,46.503007,-68.336551,39
048,44.183832,-69.125730,18
049,45.000901,-69.977374,64
050,43.858204,-72.428506,49
051,43.280480,-72.650679,16
052,43.021489,-73.118425,11
053,42.948124,-72.785289,21
054,44.584443,-73.008943,48
056,44.346226,-72.608867,33
057,43.690029,-73.047871,40
058,44.678029,-72.109914,40
059,44.777192,-71.692837,7
060,41.884400,-72.813566,61
061,41.743575,-72.692801,14
062,41.812214,-72.114970,33
063,41.502924,-72.027639,36
064,41.439431,-72.750090,54
065,41.360612,-72.947665,12
066,41.240068,-73.220585,10
067,41.675224,-73.235647,38
068,41.247913,-73.449969,25
069,41.102717,-73.554844,6
070,40.757529,-74.283420,79
071,40.740915,-74.176914,12
072,40.667887,-74.211991,7
073,40.716811,-74.064782,7
074,41.098618,-74.395757,37
075,40.928900,-74.177981,12
076,40.943178,-74.012389,39
077,40.284480,-74.173958,41
078,40.970911,-74.805206,45
079,40.738630,-74.542695,29
080,39.765931,-74.868928,87
081,39.940244,-75.076416,9
082,39.331661,-74.681636,29
083,39.438280,-75.043674,33
084,39.360907,-74.471493,4
085,40.241648,-74.617934,31
086,40.189118,-74.670961,15
087,39.951569,-74.242160,25
088,40.547237,-74.730131,54
089,40.459010,-74.471419,3
100,40.778014,-73.966903,42
101,40.774750,-73.958257,22
102,40.712468,-74.014878,5
103,40.581453,-74.152965,13
104,40.853190,-73.867224,25
105,41.270252,-73.748419,63
106,41.043410,-73.761910,6
107,40.951396,-73.857412,9
108,40.920323,-73.786027,4
109,41.303153,-74.249415,59
110,40.774990,-73.703022,14
111,40.760350,-73.925756,7
112,40.645429,-73.948716,38
113,40.747227,-73.834151,26
114,40.683926,-73.786296,26
115,40.727579,-73.623116,40
116,40.583559,-73.826083,5
117,40.811247,-73.240052,77
118,40.769209,-73.492091,3
119,40.930218,-72.541999,44
120,42.765462,-74.033009,66
121,42.934623,-74.155930,68
122,42.690658,-73.802568,12
123,42.820781,-73.975199,8
124,42.099415,-74.271413,82
125,41.809402,-73.826417,63
126,41.687500,-73.881331,3
127,41.746035,-74.754115,59
128,43.608703,-73.908864,65
129,44.525175,-74.041275,72
130,42.957164,-76.177276,50
131,43.073060,-76.345774,51
132,43.039502,-76.179904,17
133,43.364287,-75.191256,53
134,43.168390,-75.253782,62
135,43.132463,-75.165143,2
136,44.328747,-75.408855,83
137,42.217395,-75.418648,39
138,42.340402,-75.592404,41
139,42.120942,-75.886099,5
140,42.812846,-78.599257,61
141,42.832601,-78.668004,35
142,42.919815,-78.790277,29
143,43.106916,-78.977764,5
144,42.959631,-77.637376,45
145,42.894332,-77.442281,56
146,43.167666,-77.643788,25
147,42.204857,-78.834950,62
148,42.286989,-77.204158,74
149,42.088544,-76.798537,4
150,40.497871,-80.156229,71
151,40.459275,-80.019349,28
152,40.456379,-79.962164,43
153,40.009336,-80.242359,55
154,39.915217,-79.645618,70
155,39.944873,-78.786200,37
156,40.329462,-79.467883,72
157,40.721406,-79.014590,63
158,41.322593,-78.654824,30
159,40.338062,-78.843582,43
160,40.926821,-79.897961,35
161,41.190069,-80.304264,42
162,41.081066,-79.363115,39
163,41.591331,-79.573209,43
164,41.873651,-79.992785,33
165,42.093412,-80.042049,14
166,40.487898,-78.279599,67
167,41.760808,-78.443762,22
168,40.972903,-77.989174,55
169,41.795870,-77.377244,32
170,40.418013,-77.134356,86
171,40.336011,-76.796880,10
172,39.991122,-77.800784,49
173,39.884061,-76.926305,48
174,39.973434,-76.706461,7
175,40.044931,-76.223399,47
176,40.042380,-76.300626,4
177,41.338099,-77.212846,40
178,40.931343,-76.778165,54
179,40.679908,-76.300993,45
180,40.670837,-75.449353,55
181,40.596420,-75.514198,7
182,40.897873,-75.871398,36
183,41.123490,-75.184248,36
184,41.545589,-75.381820,51
185,41.408768,-75.663308,11
186,41.353884,-76.109139,36
187,41.209795,-75.851348,8
188,41.818338,-76.136939,34
189,40.366827,-75.161235,39
190,40.057164,-75.181864,68
191,40.006629,-75.137189,50
193,39.924181,-75.769288,34
194,40.185798,-75.469139,32
195,40.417109,-75.901123,42
196,40.338244,-75.946987,10
197,39.548684,-75.671129,19
198,39.769206,-75.582327,10
199,38.832614,-75.464982,39
200,38.909919,-77.016278,27
201,38.903097,-77.673941,45
202,38.891672,-77.034790,7
203,38.884187,-77.013337,5
204,38.917990,-77.018969,6
205,38.892381,-77.026452,12
206,38.452349,-76.785523,61
207,38.884816,-76.784369,53
208,39.149698,-77.235164,40
209,39.062329,-77.011762,8
210,39.396497,-76.540114,48
211,39.506942,-76.725973,30
212,39.315033,-76.587342,43
214,38.988904,-76.503124,5
215,39.558998,-79.073818,23
216,38.867975,-76.000064,58
217,39.519813,-77.496724,56
218,38.256306,-75.576021,37
219,39.572965,-75.940958,15
220,38.794392,-77.267500,19
221,38.712263,-77.311685,16
222,38.878465,-77.101179,11
223,38.776387,-77.104273,14
224,38.101082,-77.027954,24
225,38.073953,-77.238163,25
226,39.033037,-78.249596,29
227,38.493366,-78.061124,35
228,38.572938,-78.800188,28
229,38.016903,-78.568243,40
230,37.636276,-77.541982,48
231,37.599410,-77.341647,45
232,37.510491,-77.454106,23
233,37.065627,-76.106567,29
234,37.018680,-76.282052,45
235,36.893719,-76.259171,14
236,37.120015,-76.452771,24
237,36.851201,-76.355077,7
238,36.945554,-77.402105,55
239,37.037480,-78.385504,36
240,37.145631,-80.091195,43
241,37.082882,-80.123058,40
242,36.836750,-82.481459,44
243,36.854326,-81.136428,40
244,38.039408,-79.525680,43
245,37.143705,-79.111855,56
246,37.192479,-81.805691,25
247,37.397537,-81.153777,17
248,37.477929,-81.641883,55
249,37.971924,-80.298165,35
250,38.303351,-81.433133,50
251,38.313411,-81.585854,52
252,38.669594,-81.478366,40
253,38.390477,-81.630322,14
254,39.444976,-78.108156,24
255,38.269537,-82.179671,40
256,37.762616,-82.069385,43
257,38.360287,-82.416619,6
258,37.804603,-81.179994,44
259,37.827199,-80.936263,37
260,40.047687,-80.633807,24
261,39.210210,-81.252737,33
262,38.743503,-80.030813,52
263,39.183655,-80.572861,31
264,39.217401,-80.412912,29
265,39.588179,-80.045735,37
266,38.453975,-80.818049,28
267,39.333474,-78.987218,23
268,38.895492,-79.090396,24
270,36.248434,-80.445844,34
271,36.072797,-80.246149,9
272,35.857748,-79.710697,44
273,35.821611,-79.567848,36
274,36.069765,-79.820024,11
275,35.932133,-78.538599,72
276,35.809117,-78.638055,17
277,35.994016,-78.892013,9
278,35.880438,-77.304834,83
279,36.113388,-76.427954,58
280,35.362731,-81.002900,49
281,35.241608,-80.750853,43
282,35.210753,-80.828333,29
283,34.954150,-78.931616,77
284,34.394200,-78.228332,55
285,35.052340,-77.250555,62
286,36.062772,-81.355437,79
